,Passage
668,Adams never bought slave declined principle employ slave labor Littlefield Daniel C John Jay Revolutionary Generation Slavery New York History 2000 811 p 91132 ISSN 0146437X Abigail Adams opposed slavery employed free blacks preference fathers two domestic slaves spoke bill emancipate slaves Massachusetts opposed use black soldiers Revolution tried keep issue national politics Ferling 1992 pp 1723
669,John Adams portrait John Trumbull
670,Washington unanimous choice president Adams came second electoral college became Vice President presidential election 1789 played minor role politics early 1790s reelected 1792 Washington never asked Adams input policy legal issues Ferling 1992 ch 15
671,One best known Adams quotes concluded institution Vice Presidency unimportant position human ever made Wizje StanÃ³w Zjednoczonych w Pismach OjcÃ³w ZaÅoÅ¼ycieli Warsaw 1976 main task office presiding Senate Vice Presidents regarded powerful significant members Presidential administrations exceptions Martin Van Buren Richard Nixon Walter Mondale Al Gore Dick Cheney regarded influential members Presidents teams
672,first year Washingtons administration Adams became deeply involved monthlong Senate controversy official title President would favoring grandiose titles Majesty President High Mightiness simple President United States issue pomposity Adamss stance overweight led nickname Rotundity
673,president Senate Adams cast 31 tiebreaking votesâa record John C Calhoun came close tying 28 Ferling 1992 p 311 votes protected presidents sole authority removal appointees influenced location national capital least one occasion persuaded senators vote legislation opposed frequently lectured Senate procedural policy matters Adamss political views active role Senate made natural target critics Washington administration Toward end first term result threatened resolution would silenced except procedural policy matters began exercise restraint two political parties formed joined Federalist Party never got well dominant leader Alexander Hamilton Adamss seniority need northern president elected Federalist nominee president 1796 Thomas Jefferson leader opposition DemocraticRepublican Party success due peace prosperity Washington Hamilton averted war Britain Jay Treaty 1795 Ferling 1992 pp 31632
674,Adams two terms Vice President frustrating experiences man vigor intellect vanity complained wife Abigail country wisdom contrived insignificant office ever invention man contrived imagination conceived
675,presidential campaign 1796 Adams presidential candidate Federalist Party Thomas Pinckney Governor South Carolina running mate federalists wanted Adams presidential candidate crush Thomas Jeffersons bid federalists would preferred Hamilton candidate Although Hamilton followers supported Adams also held grudge consider lesser two evils However thought Adams lacked seriousness popularity caused Washington successful also feared Adams vain opinionated unpredictable stubborn follow directions Adams opponents former Secretary State Thomas Jefferson Virginia joined Senator Aaron Burr New York DemocraticRepublican ticket
676,customary Adams stayed home town Quincy rather actively campaign Presidency wanted stay called silly wicked game party however campaigned Republicans campaigned Jefferson
677,expected Adams would dominate votes New England Jefferson expected win Southern states end Adams election narrow margin 71 electoral votes 68 Jefferson became vice president
678,Adams entered office realized needed protect Washingtonâs policy staying French British war French helped secure American independence Britain greater popularity America Jay treaty Great Britain French became angry began seizing American merchant ships trading British order Adams avoid war sent commission negotiate understanding France case negotiation work Adams urged Congress augment navy army
679,Presidential Dollar John Adams
680,President Adams followed Washingtons lead making presidency example republican values stressing civic virtue never implicated scandal historians consider worst mistake keeping old cabinet controlled Hamilton instead installing people confirming Adamss admission poor politician unpractised intrigues power Ferling 1992 ch 16 p 333 Yet historians feel Adams retention Washingtons cabinet statesmanlike step soothe worries orderly succession Adams explained particular object McCullough p 471 would soon change
681,Adamss combative spirit always lend presidential decorum Adams admitted old age president refused suffer silence sighed sobbed groaned sometimes screeched screamed must confess shame sorrow sometimes swore Ellis 1998 p 57
682,Adamss four years president 1797 1801 marked intense disputes foreign policy Britain France war Adams Federalists favored Britain Jefferson DemocraticRepublicans favored France undeclared naval war US France called QuasiWar broke 1798 humiliation XYZ Affair French demanded huge bribes discussions could begin led serious threats fullscale war France embarrassed Jeffersonians friends France Federalists built army George Washington Alexander Hamilton built warships USS Constitution raised taxes cracked political immigrants domestic opponents Alien Sedition Acts signed Adams 1798
683,Acts composed four separate distinct units
684,4 acts brought suppress Republican opposition Naturalization Act doubled period required naturalize foreign born American citizenship 14 years Since immigrants voted republican thought initiating act would decrease proportion people voted republican
685,Alien Friends Act Alien Enemies Act allowed president deport foreigner thought dangerous country
686,Sedition Act criminalized anyone publicly criticized federal government punishments included 25 years prison fines 2000 5000 Adams designed promoted acts sign law problem punishing abused government
687,Acts highprofile prosecution number newspaper editors one Congressman Federalists became highly controversial historians noted Alien Sedition Acts relatively rarely enforced 10 convictions Sedition Act identified Adams never signed deportation order furor Alien Sedition Acts mainly stirred DemocraticRepublicans However historians emphasize Acts highly controversial outset resulted many aliens leaving country voluntarily created atmosphere opposing Federalists even floor Congress could result prosecution election 1800 became bitter volatile battle side expressing extraordinary fear party policies Ferling 1992 ch 17
688,deep division Federalist party came army issue Adams forced name Washington commander new army Washington demanded Hamilton given second position Adams reluctantly gave Major General Hamilton virtually took control War department rift Adams High Federalists Adamss opponents called grew wider High Federalists refused consult Adams key legislation 1798 changed defense measures called demanded Hamilton control army refused recognize necessity giving key DemocraticRepublicans like Aaron Burr senior positions army Adams wanted order gain DemocraticRepublican support building large standing army High Federalists raised popular alarms played hands DemocraticRepublicans also alienated Adams large personal following shortsightedly viewed Federalist party tool ignored need pull together entire nation face war France Kurtz 1967 yyoaoaoaschwing p 331
689,long stretches Adams withdrew home Massachusetts February 1799 Adams stunned country sending diplomat William Vans Murray peace mission France Napoleon realizing animosity United States good signaled readiness friendly relations Treaty Alliance 1778 superseded United States could free foreign entanglements Washington advised Farewell Letter Adams avoided war deeply split party process brought John Marshall Secretary State demobilized emergency army Ferling 1992 ch 18
690,death Washington 1799 weakened Federalists lost one man symbolized united party presidential election 1800 Adams ran lost electoral vote narrowly Among causes defeat distrust High Federalists led Hamilton popular disapproval Alien Sedition Acts popularity opponent Thomas Jefferson effective politicking Aaron Burr New York State legislature selected electoral college shifted Federalist Republican basis wards New York City controlled Burrs machine Ferling 1992 ch 19 Ferling 2004
691,election 1800 John Adams running mate Charles Cotesworth Pinckney went Republican duo Jefferson Burr Hamilton tried hardest sabotage Adams campaign hopes boosting Pinckneys chances winning presidency end Adams lost narrowly Jefferson 65 73 electoral votes
692,term expiring Adams appointed series judges called Midnight Judges formally appointed days presidential term expired judges eventually unseated Jeffersonians abolished offices John Marshall remained long tenure Chief Justice United States represents lasting influence Federalists Marshall refashioned Constitution nationalizing force established Judicial Branch equal Executive Legislative branches Ferling 1992 p 409
693,Adams appointed following Justices Supreme Court United States
694,Portrait elderly John Adams Gilbert Stuart 1823
695,Following 1800 defeat Adams retired private life Depressed left office attend Jeffersons inauguration went back farming Quincy area
696,1812 Adams reconciled Jefferson mutual friend Benjamin Rush corresponding encouraged Adams reach Jefferson Adams sent brief note Jefferson resulted resumption friendship initiated correspondence lasted rest lives letters rich insight period minds two Presidents revolutionary leaders correspondence lasted fourteen years consisted 158 letters Cappon 1988 years two men discussed natural aristocracy Jefferson said âThe natural aristocracy consider precious gift nature instruction trusts government society indeed would inconsistent creation formed man social state provided virtue wisdom enough manage concerns society May even say form government best provides effectually pure selection natural aristoi offices government Cappon ed 387 Adams wondered ever would clear people distinction natural artificial aristocracy appear well founded Birth wealth conferred men imperiously nature genius strength beauty aristocracies established human laws honour wealth power made hereditary municipal laws political institutions acknowledge artificial aristocracy commence Cappon ed 400 would always true Adams argued fate would bestow influence men reasons true wisdom virtue way nature thought talents natural good government therefore account reality
697,Sixteen months death son John Quincy Adams became sixth President United States 1825 1829 son former President hold office George W Bush 2001
698,daughter Abigail Nabby married Congressman William Stephens Smith died cancer 1816 son Charles died alcoholic 1800 son Thomas family lived Adams Louisa Smith Abigails niece brother William end Adamss life Ferling 1992 ch 20
699,Tombs Presidents John Adams distance John Quincy Adams foreground wives family crypt beneath United First Parish Church
700,July 4 1826 50th anniversary adoption Declaration Independence Adams died home Quincy last words often quoted Thomas Jefferson survives words Thomas Jefferson clearly intelligible among last however Jefferson Still Survives Retrieved 20061226 Adams unaware Jefferson great political rival â later friend correspondent â died hours earlier dayUnited First Parish Church fact Adams Jefferson instrumental creating Declaration Independence died fiftieth anniversary date publication one remarkable coincidences history
701,crypt lies United First Parish Church also known Church Presidents Quincy record broken Ronald Reagan 2001 nations longestliving President 90 years 247 days maintaining record 175 years record currently held former President Gerald Ford served less one term died December 26 2006 93 years 165 days
702,John Adams remains longestlived person ever elected highest offices United States
703,Adams raised Congregationalist becoming Unitarian time Congregational churches around Boston turning Unitarianism Everett 1966 argues Adams deist used deistic terms speeches writing believed essential goodness creation believe divinity Christ God intervened affairs individuals Although anticlerical advocated separation church state also believed regular church service beneficial mans moral sense Everett concludes Adams strove religion based common sense sort reasonableness maintained religion must change evolve toward perfection Robert B Everett Mature Religious Thought John Adams Proceedings South Carolina Historical Association 1966 p 4957 ISSN 03616207
704,Adams often railed saw overclaiming authority Catholic church See TeachingAmericanHistoryorg Dissertation Canon Feudal Law John Adams 1765
705,1796 Adams denounced deism political opponent Thomas Paine saying Christian religion religions ever prevailed existed ancient modern times religion wisdom virtue equity humanity let Blackguard Paine say Works John Adams 1854 vol III p 421 diary entry July 26 1796
706,Unitarian Universalist Historical Society sheds light Adamsâs religious beliefs point Adams clearly atheist quoting letter Benjamin Rush early promoter Universalist thought âI attended public worship countries sects believe much better religion though thought obliged believe heardâ Society also relates Rush reconciled Adams former friend Thomas Jefferson 1812 many bitter political battles resulted correspondence Adams Jefferson many topics including philosophy religion one communications Adams told Jefferson Ten Commandments Sermon Mount contain religion another letter Adams reveals sincere devotion God âMy Adoration Author Universe profound sincere Love God Creation delight Joy Tryumph Exaltation existence tho Atom molecule Organique Universe religionâ continues revealing Universalist sympathies rejection orthodox Christian dogma personal belief true Christian accepting dogma âHowl Snarl bite Ye Calvinistick Ye Athanasian Divines Ye say Christian say Ye Christians Account ballanced Yet believe honest men among Christians Sense Word Society also demonstrates Adams rejected orthodox Christian doctrines trinity predestination yet equated human understanding human conscience âcelestial communicationâ personal revelation God also shown Adams held strong conviction life death otherwise explained âyou might ashamed Makerâ
707,Brown Ralph Presidency John Adams 1988 Political narrative
708,Ellis Joseph J Passionate Sage Character Legacy John Adams 1993 interpretative essay Pulitzer prize winning scholar
709,Ferling John Adams vs Jefferson Tumultuous Election 1800 2004 narrative history election
710,Knollenberg Bernard Growth American Revolution 176617752003 Online edition
711,Kurtz Stephen G Presidency John Adams Collapse Federalism 17951800 1957 Detailed political narrative
712,McCullough David John Adams 2002 Bestselling popular biography stressing Adamss character marriage Abigail ideas constitutional thoughts Winner 2002 Pulitzer Prize Biography
713,Miller John C Federalist Era 17891801 1960 Thorough survey politics decade
714,Ryerson Richard Alan ed John Adams Founding Republic 2001 Essays scholars John Adams Massachusetts Provincial Elite William Pencak Fame Young John Adams Thomas Jefferson John Ferling John Adams Bolder Plan Gregg L Lint Shadow Washington John Adams Vice President Jack Warren Presidential Election 1796 Joanne B Freeman Disenchantment Radical Whig John Adams Reckons Free Speech Richard Brown Splendid Misery Abigail Adams First Lady Edith B Gelles John Adams Science Politics C Bradley Thompson Presidents Historians John Adams Thomas Jefferson Herbert Sloan
715,Sharp James American Politics Early Republic New Nation Crisis 1995 detailed political narrative 1790s
716,Thompson C Bradley John Adams Spirit Liberty 1998 Analysis Adamss political thought insists Adams greatest political thinker among Founding Generation anticipated many ideas Federalist
717,Butterfield L H et al eds Adams Papers 1961 Multivolume letterpress edition letters major members Adams family plus diaries still incomplete
718,Cappon Lester J ed AdamsJefferson Letters Complete Correspondence Thomas Jefferson Abigail John Adams 1988
719,Carey George W ed Political Writings John Adams 2001 Compilation extracts Adamss major political writings
720,Brinkley Alan Davis Dyer American Presidency Boston Houghton Mifflin company 2004
721,Adams Family Papers electronic archive Captured December 16 2004
722,John Adams Library housed Boston Public Library contains Adamss personal collection 3500 volumes eight languages many extensively annotated Adams
723,Caricature Amedeo Avogadro
724,Lorenzo Romano Amedeo Carlo Avogadro Count Quaregna Cerreto August 9 1776 July 9 1856 Italian savant noted contributions theory molarity molecular weight tribute number elementary entities atoms molecules ions particles one mole substance 602214199x10 23 known Avogadros number
725,Amedeo Avogadro born Turin August 9th 1776 noble ancient family Piedmont Italy
726,graduated ecclesiastical law early age 20 began practice
727,Soon dedicated study physics mathematics called positive philosophy 1809 started teaching liceo high school Vercelli family properties
728,1811 published article title Essai dune manière de déterminer les masses relatives des molécules élémentaires des corps et les proportions selon lesquelles elles entrent dans ces combinaisons contains famous Avogadros hypothesis title famous 1811 paper roughly translated English Essay Determining Relative Masses Elementary Molecules Bodies Note time 1811 northern Italy actually French rule era Napoléon Bonaparte Avogadro submitted poem French journal paper written French Italian
729,1820 became professor physics University Turin Note downfall Napoléon 1815 northern Italy rule Kingdom PiedmontSardinia Turin capital kingdom
730,active political revolutionary movements 1821 king Sardinia result removed chair 1823 officially declared university glad allow interesting scientist take rest heavy teaching duties order able give better attention researches
731,However time Avogadros political isolation became less revolutionary ideas received increasing attention Savoy kings 1848 Charles Albert granted modern Constitution Statuto Albertino Well following increasing attention works Avogadro recalled Turin university 1833 taught another twenty years
732,little known Avogadros private life political activity although seems led sober religious life married Felicita Mazzé six children
733,Several historical studies confirm sponsored helped Sardinian plotters organising revolution island stopped last moment concession Charles Alberts statute doubts however remain considering slight evidence
734,Avogadro held public posts statistics meteorology weights measures introduced decimal metric system Piedmont member Royal Superior Council Public Instruction
735,honour Avogadros contributions theory molarity molecular weights number molecules one mole renamed Avogadros number N approximately 60221415 10 23
736,Loschmidt first calculated value Avogadros number called Avogadros constant still sometimes referred Loschmidt number Germanlanguage countries Loschmidt constant another meaning Avogadros number commonly used compute results chemical reactions allows chemists determine exact amounts substances produced given reaction
737,stay Vercelli wrote concise note memoria declared hypothesis call Avogadros law
738,memoria sent De Lamétheries Journal de Physique de Chimie et dHistoire naturelle published edition July 14 1811 title Essai dune manière de déterminer les masses relatives des molecules élémentaires des corps et les proportions selon lesquelles elles entrent dans ces combinaisons
739,Avogadros Law implies relationship occurring weights volumes different gases temperature pressure corresponds relationship respective molecular weights Hence relative molecular masses calculated masses gas samples
740,Avogadro developed hypothesis Joseph Louis GayLussac published 1808 law volumes combining gases greatest difficulty Avogadro resolve huge confusion time regarding atoms molecules one important contributions Avogadros work clearly distinguishing one admitting simple particles could composed molecules composed atoms instance John Dalton consider possibility Avogadro actually use word atom words atom molecule used almost without difference considered three kinds molecules including elementary molecule atom Also keener attention given definition mass distinguished weight
741,1814 published Mémoire sur les masses relatives des molécules des corps simples ou densités présumées de leur gaz et sur la constitution de quelquesuns de leur composés pour servir de suite à lEssai sur le même sujet publié dans le Journal de Physique juillet 1811 gas densities
742,1821 published another memoria Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons et sur la détermination des masses des molécules des corps little Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées
743,1841 completed published work Fisica dei corpi ponderabili ossia Trattato della costituzione materiale de corpi 4 volumes
744,scientific community reserve great attention theory Avogadros hypothesis immediately accepted announced AndréMarie Ampère able three years later achieve result another method Sur la détermination des proportions dans lesquelles les corps se combinent daprès le nombre et la disposition respective des molécules dont leurs particules intégrantes sont composées indifferent regard given theories well
745,studies Gerhardt Laurent Williamson organic chemistry possible demonstrate Avogadros law indispensable explain quantities molecules brought vapour state volume
746,Unfortunately performance related experiments inorganic substances showed exceptions law matter finally concluded Stanislao Cannizzaro announced Karlsruhe Congress 1860 four years Avogadros death explained exceptions happened molecular dissociations occurred certain temperatures Avogadros law could determine molar masses consequence atomic masses
747,1911 historic meeting took place Turin commemorate hundredth anniversary publication Avogadros classic 1811 memoir King Victor Emmanuel III pay homage Avogadro Thus Avogadros great contribution chemistry recognised recognised great Italian chemist Note 1911 Victor Emmanuel III King unified Italy Rome instead Turin capital unification Italy happen life time Avogadro fact Avogadros famous 1811 paper written French
748,Clausius kinetic theory gases able give another confirmation Avogadros law long researches regarding dilute solutions consequent discovery analogies behaviour solutions gases J H van Hoff added final consensus triumph Italian scientist since considered founder atomicmolecular theory
749,Morselli Mario 1984 Amedeo Avogadro scientific biography Kluwer ISBN 9027716242
750,Republic Indonesia nation Southeast Asia Comprising 17508 islands worlds largest archipelagic state population 234 million people worlds fourth populous country populous Muslimmajority nation although officially Islamic state Indonesia republic elected parliament president nations capital city Jakarta country shares land borders Papua New Guinea East Timor Malaysia neighboring countries include Singapore Philippines Australia Indian territory Andaman Nicobar Islands
751,Indonesian archipelago important trade region since least seventh century Srivijaya Kingdom formed trade links China Indonesian history influenced foreign powers drawn natural resources Indian influence Hindu Buddhist kingdoms flourished early centuries CE Muslim traders brought Islam European powers fought one another monopolize trade Spice Islands Maluku Age Exploration Following three half centuries Dutch colonialism Indonesia secured independence World War II Indonesias history since turbulent challenges posed natural disasters corruption separatism democratization process periods rapid economic change
752,Across many islands Indonesia consists distinct ethnic linguistic religious groups Javanese largest politically dominant ethnic group unitary state nation Indonesia developed shared identity defined national language majority Muslim population history colonialism rebellion Indonesias national motto Bhinneka tunggal ika Unity Diversity lit many yet one articulates diversity shapes country However sectarian tensions separatism led violent confrontations undermined political economic stability Despite large population densely populated regions Indonesia vast areas wilderness support worlds second highest level biodiversity country richly endowed natural resources yet poverty defining feature contemporary Indonesia
753,name Indonesia derives Latin Indus meaning India Greek nesos meaning island name dates 18th century far predating formation independent Indonesia 1850 George Earl English ethnologist proposed terms Indunesians preference Malayunesians inhabitants Indian Archipelago Malayan Archipelago publication student Earls James Richardson Logan used Indonesia synonym Indian Archipelago However Dutch academics writing East Indies publications reluctant use Indonesia Instead used terms Malay Archipelago Maleische Archipel Netherlands East Indies Nederlandsch Oost IndiÃ popularly IndiÃ East de Oost even Insulinde term introduced 1860 influential novel Max Havelaar 1859 written Multatuli critical Dutch colonialism
754,1900 name Indonesia became common academic circles outside Netherlands Indonesian nationalist groups adopted political expression Adolf Bastian University Berlin popularized name book Indonesien oder die Inseln des Malayichen Archipels 1884â1894 first Indonesian scholar use name Suwardi Suryaningrat Ki Hajar Dewantara established press bureau Netherlands name Indonesisch Persbureau 1913
755,early first century CE Indonesian vessels made trade voyages far Africa Picture ship carved Borobudur circa 800 CE
756,Fossilized remains Homo erectus popularly known Java Man suggest Indonesian archipelago inhabited two million 500000 years ago
757,cited
758,cited
759,
760,cited
761,Austronesian people form majority modern population migrated South East Asia Taiwan arrived Indonesia around 2000 BCE confined native Melanesian peoples far eastern regions expanded Taylor 2003 pages 5â7 Ideal agricultural conditions mastering wetfield rice cultivation early eighth century BCE
762,allowed villages towns small kingdoms flourish first century CE Indonesias strategic sealane position fostered interisland international trade example trade links Indian kingdoms China established several centuries BCE Trade since fundamentally shaped Indonesian history Taylor 2003 pages 3 9 10â11 13 14â15 18â20 22â23 Vickers 2005 pages 18â20 60 133â134
763,nutmeg plant native Indonesias Banda Islands one worlds valuable commodities drew first European colonial powers Indonesia
764,seventh century CE powerful Srivijaya naval kingdom flourished result trade influences Hinduism Buddhism imported Taylor 2003 pages 22â26 Ricklefs 1991 page 3 eighth 10th centuries CE agricultural Buddhist Sailendra Hindu Mataram dynasties thrived declined inland Java leaving grand religious monuments Sailendras Borobudur Matarams Prambanan Hindu Majapahit kingdom founded eastern Java late 13th century Gajah Mada influence stretched much Indonesia period often referred Golden Age Indonesian history
765,Although Muslim traders first traveled South East Asia early Islamic era earliest evidence Islamized populations Indonesia dates 13th century northern Sumatra Ricklefs 1991 pages 3 14 Indonesia areas gradually adopted Islam became dominant religion Java Sumatra end 16th century part Islam overlaid mixed existing cultural religious influences shaped predominant form Islam Indonesia particularly Java Ricklefs 1991 pages 12â14 first Europeans arrived Indonesia 1512 Portuguese traders led Francisco SerrÃo sought monopolize sources nutmeg cloves cubeb pepper Maluku Dutch British traders followed 1602 Dutch established Dutch East India Company VOC became dominant European power Following bankruptcy VOC formally dissolved 1800 government Netherlands established Dutch East Indies nationalized colony Ricklefs 1991 page 24
766,colonial period Dutch control territories tenuous early 20th century Dutch dominance extend become Indonesias current boundaries Dutch troops constantly engaged quelling rebellions Java influence local leaders Prince Diponegoro central Java Imam Bonjol central Sumatra Pattimura Maluku bloody thirtyyear war Aceh weakened Dutch tied colonial military forcesSchwartz 1999 pages 3â4 Despite major internal political social sectarian divisions National Revolution Indonesians whole found unity fight independence Japanese invasion subsequent occupation WWII ended Dutch rule encouraged previously suppressed Indonesian independence movement Two days surrender Japan August 1945 Sukarno influential nationalist leader declared independence appointed president Reid 1973 page 30 Netherlands tried reestablish rule bitter armed diplomatic struggle ended December 1949 face international pressure Dutch formally recognized Indonesian independence
767,Sukarno Indonesias founding president
768,Sukarno moved democracy towards authoritarianism maintained power base balancing opposing forces Military Islam Communist Party Indonesia PKI Ricklefs 1991 pages 237 280 attempted coup September 30 1965 countered army led violent anticommunist purge PKI blamed coup effectively destroyed Friend 2003 pages 107â109 Ricklefs 1991 pages 280â283 284 287â290 500000 one million people killed head military General Suharto outmaneuvered politically weakened Sukarno formally appointed president March 1968 New Order administration supported US government US National Archives RG 59 Records Department State cable 868 ref Embtel 852 Oct 5 1965 Adrian Vickers History Modern Indonesia Cambridge University Press p 163 2005 David Slater Geopolitics PostColonial Rethinking NorthSouth Relations London Blackwell p 70 encouraged foreign investment Indonesia major factor subsequent three decades substantial economic growth
769,1997 1998 however Indonesia country hardest hit East Asian Financial Crisis increased popular discontent New Order
770,led popular protests Suharto resigned May 21 1998
771,1999 East Timor voted secede Indonesia twentyfiveyear occupation marked international condemnation repression human rights abuses
772,Reformasi era following Suhartos resignation led strengthening democratic processes including regional autonomy program first direct presidential election 2004 Political economic instability social unrest corruption terrorism slowed progress Although relations among different religious ethnic groups largely harmonious acute sectarian discontent violence remain problems areas political settlement armed separatist conflict Aceh achieved 2005
773,Indonesia republic presidential system unitary state power concentrated national government Following resignation President Suharto 1998 Indonesian political governmental structures undergone major reforms Four amendments 1945 Constitution Indonesia 1999 2000 2001 2002 revamped executive judicial legislative branches president Indonesia head state commanderinchief Indonesian Armed Forces director domestic governance policymaking foreign affairs president appoints council ministers required elected members legislature 2004 presidential election first people directly elected president vice president president serves maximum two consecutive fiveyear terms _ 2002 fourth Amendment 1945 Indonesia Constitution Chapter III â Executive Power Art 7
774,session Peoples Representative Council Jakarta
775,highest representative body national level Peoples Consultative Assembly MPR main functions supporting amending constitution inaugurating president formalizing broad outlines state policy power impeach president MPR comprises two houses Peoples Representative Council DPR 550 members Regional Representatives Council DPD 168 members DPR passes legislation monitors executive branch partyaligned members elected fiveyear terms proportional representation Reforms since 1998 markedly increased DPRs role national governance Reforms include total control statutes production without executive branch interventions members elected reserved seats military representatives removed introduction fundamental rights exclusive DPR see Harijanti Lindsey 2006 DPD new chamber matters regional management Based 2001 constitution amendment DPD comprises four popularly elected nonpartisan members thirtythree provinces national political representation
776,civil disputes appear State Court appeals heard High Court Supreme Court countrys highest court hears final cassation appeals conducts case reviews courts include Commercial Court handles bankruptcy insolvency State Administrative Court hear administrative law cases government Constitutional Court hear disputes concerning legality law general elections dissolution political parties scope authority state institutions Religious Court deal specific religious cases
777,contrast Sukarnos antipathy western powers hostility Malaysia Indonesias foreign relations approach since Suharto New Order one international cooperation accommodation gain external support Indonesias political stability economic development Indonesia maintains close relationships neighbors Asia founding member ASEAN East Asia Summit nation restored relations Peoples Republic China 1990 following freeze place since anticommunist purges early Suharto era Indonesia member United Nations since 1950 Indonesia temporarily withdrew UN January 20 1965 response fact Malaysia elected nonpermanent member Security Council announced intention resume full cooperation United Nations resume participation activities September 19 1966 invited rejoin UN September 28 1966 founder NonAligned Movement NAM Organization Islamic Conference OIC Indonesia signatory ASEAN Free Trade Area agreement member OPEC Cairns Group WTO Indonesia received humanitarian development aid since 1966 particular United States western Europe Australia Japan
778,National flags site 2002 terrorist bombing Kuta Bali
779,Indonesian Government worked countries apprehend prosecute perpetrators major bombings linked militant Islamism AlQaeda deadliest killed 202 people including 164 international tourists Bali resort town Kuta 2002 attacks subsequent travel warnings issued countries severely damaged Indonesias tourism industry foreign investment prospects
780,Indonesias 300000member armed forces TNI include Army TNIAD Navy TNIAL includes marines Air Force TNIAU army 233000 activeduty personnel Defense spending national budget 4 GDP 2006 controversially supplemented revenue military commercial interests foundations postSuharto period since 1998 formal TNI representation parliament removed though curtailed political influence remains extensive Friend 2003 pages 473â475 484 Separatist movements provinces Aceh Papua led armed conflict subsequent allegations human rights abuses brutality sides Friend 2003 pages 270â273 477â480 Following sporadic thirty year guerrilla war Free Aceh Movement GAM Indonesian military ceasefire agreement reached 2005 Papua significant albeit imperfect implementation regional autonomy laws reported decline levels violence human rights abuses since presidency Susilo Bambang Yudhoyono
781,Provinces Indonesia
782,Administratively Indonesia consists 33 provinces five special status province political legislature governor provinces subdivided regencies kabupaten kota subdivided subdistricts kecamatan village groupings either desa kelurahan Following implementation regional autonomy measures 2001 regencies cities become key administrative units responsible providing government services village administration level influential citizens daily life handles matters village neighborhood elected lurah kepala desa village chief
783,Aceh Jakarta Yogyakarta Papua West Papua provinces greater legislative privileges higher degree autonomy central government provinces Acehnese government example right create independent legal system 2003 instituted form Sharia Islamic law Yogyakarta granted status Special Region recognition pivotal role supporting Indonesian Republicans Indonesian Revolution positions governor vice governor prioritized descendants Sultan Yogyakarta Paku Alam respectively much like sultanate Elucidation Indonesia Law 221999 Regarding Regional Governance Peoples Representative Council 1999 Chapter XIV Provisions Art 122 translated version President Republic Indonesia 1974 Chapter VII Transitional Provisions Art 91 Papua formerly known Irian Jaya granted special autonomy status 2001 part autonomy package introduction Papuan Peoples Council tasked arbitration speaking behalf Papuan tribal customs however implementation autonomy measures criticized halfhearted incomplete Jakarta countrys special capital region
784,Indonesian provinces capitals
785,Indonesian name brackets different English
786,â indicates provinces Special Status
787,Sumatra
788,Java
789,Lesser Sunda Islands
790,Kalimantan
791,Sulawesi
792,Maluku islands
793,Papua
794,Map Indonesia
795,Indonesia consists 17508 islands 6000 inhabited scattered sides equator five largest islands Java Sumatra Kalimantan Indonesian part Borneo New Guinea shared Papua New Guinea Sulawesi Indonesia shares land borders Malaysia island Borneo Sebatik Papua New Guinea island New Guinea East Timor island Timor Indonesia also shares borders Singapore Malaysia Philippines north Australia south across narrow straits water capital Jakarta Java nations largest city followed Surabaya Bandung Medan Semarang
796,1919440 square kilometers 741050 sq mi Indonesia worlds 16thlargest country terms land area average population density 134 people per square kilometer 347 per sq mi 79th world although Java worlds populous island population density 940 people per square kilometer 2435 per sq mi 4884 meters 16024 ft Puncak Jaya Papua Indonesias highest peak Lake Toba Sumatra largest lake area 1145 square kilometers 442 sq mi countrys largest rivers Kalimantan include Mahakam Barito rivers communication transport links islands river settlements
797,Mount Semeru Mount Bromo East Java Indonesias seismic volcanic activity among worlds highest
798,Indonesias location edges Pacific Eurasian Australian tectonic plates makes site numerous volcanoes frequent earthquakes Indonesia least 150 active volcanoes including Krakatoa Tambora famous devastating eruptions 19th century eruption Toba supervolcano approximately 70000 years ago one largest eruptions ever global catastrophe Recent disasters due seismic activity include 2004 tsunami killed estimated 167736 northern Sumatra Yogyakarta earthquake 2006 However volcanic ash major contributor high agricultural fertility historically sustained high population densities Java Bali
799,Lying along equator Indonesia tropical climate two distinct monsoonal wet dry seasons Average annual rainfall lowlands varies 1780â3175 millimeters 70â125 6100 millimeters 240 mountainous regions Mountainous areas particularly west coast Sumatra West Java Kalimantan Sulawesi Papua receive highest rainfall Humidity generally high averaging 80 Temperatures vary little throughout year average daily temperature range Jakarta 26â30 ÂC 79â86 ÂF
800,critically endangered Sumatran Orangutan great ape endemic Indonesia
801,Indonesias size tropical climate archipelagic geography support worlds second highest level biodiversity Brazil flora fauna mixture Asian Australasian species linked Asian mainland islands Sunda Shelf Sumatra Borneo Java Borneo Bali wealth Asian fauna Large species tiger rhinoceros orangutan elephant leopard abundant far east Bali numbers distribution dwindled drastically
802,Forests cover approximately 60 country Sumatra Kalimantan predominantly Asian species However forests smaller densely populated Java largely removed human habitation agriculture Sulawesi Nusa Tenggara Maluku long separated continental landmasses developed unique flora fauna Papua part Australian landmass home unique fauna flora closely related Australia including 600 bird species
