,Question,Answer
628,penguins better average sense hearing birds,yes
629,penguins considered higher waterbirds,yes
630,order penguins belong,Sphenisciformes
631,tall tallest prehistoric penguins,180 meters
632,makes penguins agile water,wings become flippers
633,penguins tobaggan,conserves energy moving quickly
634,spend half life land half oceans,Penguins
635,also distance Antarctic tourists told keep penguins,3 meters
636,become flippers useless flight air,Penguins wings
637,happens mothers lose chick,sometimes attempt steal another chick
638,true penguin gets turn center,Yes
639,penguins countershaded,Yes
640,penguins astonishingly agile,water
641,penguins risk,Yes
642,also possible penguin comes Latin pinguis fat,Yes
643,penguins average sense hearing birds,Yes
644,larger penguins dive deep case need,Yes
645,smallest penguin species Little Blue Penguin LRB also known Fairy Penguin RRB stands around 40 cm tall LRB 16 RRB weighs 1 kg LRB 22 lb RRB,Yes
646,even known whether gigantic palaeeudyptines constitute monophyletic lineage whether gigantism evolved independently much restricted Palaeeudyptinae Anthropornithinae,even known
647,largest living species emperor penguin LRB aptenodytes forsteri RRB,Yes
648,smallest penguin species little blue penguin LRB also known fairy penguin RRB stands around 40 cm tall LRB 16 RRB weighs 1 kg LRB 2,Yes
649,happened region quite 2000 km south equator 35 mya,least one giant penguin
650,last word page,Connecticut
651,polar bear mammal,Yes
652,polar bear carnivore,Yes
653,largest polar bear record,2200 lb
654,polar bears skin color,white cream
655,long polar bears guard hair,515 cm
656,cause polar bears skin diseases,mites parasites
657,polar bear special species,World Conservation Union listed polar bears vulnerable species one three subcategories threatened status May 2006 latest estimate 7 19 subpopulations declining already severely reduced
658,fossil DNA evidence tell us,polar bear diverged brown bear 200 thousand years ago
659,polar bear live Arctic,yes
660,polar bear white color,yes
661,polar bear high risk extinction,yes
662,heavy male polar bear,300600 kg 6601320 lb
663,heavy largest polar bear record,1002 kg 2200 lb
664,polar bears fur provide,provides animal effective camouflage
665,female polar bears weight male,
666,much weight female polar bears gain pregnancy,gain double weight
667,polar bears seen infrared photography,Polar bears nearly invisible infrared photography
668,actually black color,polar bears skin
669,insulate cold,think blubber fur
670,includes lengthy justification species listed vulnerable,Database entry
671,greenpeace natural resources defense council common,filed lawsuits California
672,studies insufficient evidence global protection,arguable
673,polar bears excellent swimmers,yes
674,semiaquatic marine mammal polar bear,adapted life combination land sea ice
675,Garbage,Garbage recycled transported Thompson Manitoba
676,bears sometimes,sometimes problems various skin diseases dermatitis caused sometimes mites parasites
677,Polar Bear mascot Bowdoin college,yes
678,thumbpolar bears made controversial famous distinctive white fur habitat,yes
679,Mitchell Taylor Nunavut Government Manager Wildlife Research write letter US Fish Wildlife Service arguing local studies insufficient evidence global protection time,
680,Cubs born December without awakening mother,yes
681,Qatar rank eighth richest country world per capita,
682,nearly Qataris profess Islam,Yes
683,women legally drive Qatar,Yes
684,Qatar become independent state,September 3 1971
685,Qatars telecommunication system centered,Doha
686,suicidebombing kill teacher 2005,Doha Players Theatre
687,native pronunciation Qatar sound like cutter,Yes
688,Arabic word municipalities,baladiyah
689,universities Education City,Carnegie Mellon University Georgetown University School Foreign Service Texas University Virginia Commonwealth University Cornell Universitys Weill Medical College
690,carried tacit recognition Qatars status distinct Bahrain,British Protectorate per Colonel Lewis Pelly asking negotiate representative Qatar Bahrains violation 1820 AngloBahraini Treaty
691,Qatar became independent sovereign state year,September 3 1971
692,consists low barren plain covered sand,Much country
693,qatar wider region relate,Qatar aiming become role model economic social transformation region Large scale investment social economic sectors also lead development strong financial market
694,Qatar University founded 1973,Yes
695,Qatar bordered Saudi Arabia south,Yes
696,bordered Saudi,Qatar
697,served headquarters one main launching sites US invasion Iraq 2003,Qatar
698,Qatar modern Telecommunication system centered Doha,Yes
699,Qatar University founded 1973,Yes
700,Qataris choose negotiator respected entrepreneur longtime resident Doha Muhammed bin Thani,Yes
701,oil gas probably remain backbone Qatar economy time come,Yes
702,created long term perspective support development Qatar wider region develop local regional markets strengthen links energy based economies global financial markets,Yes
703,happened positions english,allophones occur
704,allophones occur positions english,yes
705,RRB officially state qatar LRB arabic transliterated dawlat qatar RRB arab emirate southwest asia,Yes
706,Romania border Hungary,Yes
707,Romania secular state,Yes
708,president elected popular vote,Yes
709,many counties Romania divided,41
710,highest mountain Romania,Moldoveanu Peak
711,official language Romania,Romanian
712,Romanian economy well,Yes
713,many Roma Romania,
714,many territories joined form Romania,2
715,Romania share border Ukraine,yes
716,Romania declare neutrality World War,yes
717,Romania share language Moldova,yes
718,first gymnast score perfect ten,Nadia Comăneci
719,largest city Romania,Bucharest
720,largest ethnic minority Romania,Hungarians
721,many countries Europe bigger Romania,eleven
722,doesnt Romania state religion,Romania secular state
723,wasnt Romania neutral World War II,received Soviet ultimatum
724,Sibiu large city Transylvania chosen European Capital Culture year,2007
725,approximately 42000 years old nicknamed John Anina,remains lower jaw oldest modern human
726,true romania population 21698181,Yes
727,economy law common,sure answer
728,Tourism Romania attract 2005,investments worth 400 million euros
729,Romania semipresidential unitary state,Yes
730,Romania semipresidential democratic republic executive functions shared president prime minister,Yes
731,Gellu Naum leader surrealist movement Romania,Yes
732,Bucharest Metro opened 1979,Yes
733,romania LRB RRB country southeastern europe,Yes
734,romania semipresidential unitary state,Yes
735,singaporeans enjoy squid,Yes
736,Singapores standard living decrease since independence,standard living raised
737,media contribute 156 Singapores GDP 2001,contributed 156 GDP 2001
738,many people use bus network daily,278 million people
739,Orang Laut people live,Orang Laut people lived around coast rivers smaller islands
740,MRT,One three heavy rail passenger transport lines Singapore
741,Singapores climate characterized,Singapore tropical rainforest climate distinctive seasons
742,much increase medias contribution GDP government seeking,government seeks increase GDP contribution 3 2012
743,many days take Imperial Japanese Army win Battle Singapore,Six days
744,Singapore located southern tip Korean Penisula,
745,Singapore citystate,yes
746,Sang Nila Utama visited Singapore,yes
747,singa mean,lion
748,first record S08_settlement Singapore,second century AD
749,nation invaded Singapore World War II,Japan
750,Churchill called occupation Singapor Janpan WWII Britains greatest defeat,British defeated six days
751,Lee Kuan Yew successful leader Singapore,yes
752,Goh Chok Tong succeed Lee Prime Minister,1990 Goh Chok Tong succeeded Lee Prime Minister
753,primary domestic source water supply,primary domestic source water supply Singapore rainfall
754,national language Singapore,national language Singapore Malay
755,National Orchid Garden,Singapore Botanic Gardens
756,relations Malaysia Indonesia important,Due obvious geographical reasons relations Malaysia Indonesia important
757,densely populated independent country world,Monaco
758,Sir Thomas Stamford Raffles work,British East India Company
759,Lee Kuan Yew prime minister Singapore,1959
760,punishment firstdegree murder,laws allow capital punishment Singapore firstdegree murder drug trafficking
761,established trading post island 1819,British East India Company
762,used Singapore strategic trading post along spice route,British
763,became one important commercial military centres British Empire,Singapore
764,boasted sizeable community 100000 1869,British India office
765,reservoirs water relate,2001 19 raw water reservoirs 9 treatment works 14 storage service reservoirs locally serve domestic needs
766,true singapore several long standing disputes malaysia,Yes
767,Singapore Changi Airport network 81 airlines connecting Singapore 185 cities 58 countries,Yes
768,Singapore network reservoirs water catchment areas,Yes
769,Urbanization eliminated many areas former primary rainforest remaining area primary rainforest Bukit Timah Nature Reserve,Yes
770,economy depend heavily exports refining imported goods especially manufacturing,
771,singapore LRB RRB officially republic singapore LRB RRB island nation located southern tip malay peninsula,Yes
772,singapore 17th wealthiest country world terms gdp per capita,
773,Thedore Roosevelt member Republican Party,Yes
774,Theodore Roosevelt brother,Yes
775,Theodore Roosevelt go Harvard,Yes
776,Theodore Roosevelt born,28 East 20th Street modernday Gramercy section New York City
777,Roosevelt improve physical condition,Roosevelt took exercise
778,Roosevelt start Boxing lessons,deal bullies
779,nickname Theodore Roosevelts sister Anna,Bamie child Bye adult
780,Roosevelts justification supporting desegregation schools New York,Noting children educated races nothing wrong
781,newspapers respond Roosevelt inviting Brooker Washington dinner White House,mixing races social occassions
782,Theodore Roosevelt study Judo,
783,Roosevelt receive Medal Honor,yes
784,Roosevelt study biology,yes
785,Theodore Roosevelt,Gramercy section New York City
786,Roosevelts presidential hero,Lincoln Roosevelts presidential hero
787,Roosevelt die,January 6 1919 Roosevelt died sleep
788,helped fund Roosevelts African safari,Financed Andrew Carnegie proposed writings
789,Roosevelt support racial integration schools,yes
790,Roosevelts family rich,yes
791,turtles ectothermic,Yes
792,mother care young,
793,turtles pets,Yes
794,shape eggs larest species turtle,Spherical
795,often turtles breed,Every years
796,turtles tortoises breathe,air
797,turtles reproduce,lay eggs
798,discovered turtles organs,gradually break become less efficient time
799,suborder turtle draws head shell,Pleurodira
800,sea turtles lay eggs dry sandy beaches,Yes
801,Pleurodira known sidenecked turtles,Yes
802,turtles part Flying Spaghetti Monster,shrug
803,many suborders turtles divided,Three
804,Name turtle popularly kept pet,Russian Tortoises
805,Name four related articles article turtles,Triassic Ernst Haeckel Kunstformen der Natur Animal
806,turtle egg kept warm would likely hatch,female turtle
807,turles use breathe water,Papillae
808,sidenecked turtles called sidenecked turtles,way withdraw heads shells
809,turtles lay eggs underwater,
810,turtle eggs leathery soft,Yes
811,turtles examined longevity genes,Yes
812,suborder turtles extinct,Paracryptodira
813,turtle eggs preared eat consist mainly,Yolk
814,sea turtles lay eggs,Holes Dug Mud Sand
815,smallest suborder turtles,Pleurodira
816,turtle eggs covered incubate,Mud Sand
817,type creatures breathe air dont lay eggs underwater,Amniotes
818,deposited holes dug mud sand,eggs
819,sort turtles ectothermic,
820,largest turtles aquatic,yes
821,aquatic respiration Australian freshwater turtles studied,yes
822,projections called papillae,rich blood supply
823,eggs largest species,spherical
824,inspired genetic researchers begin examining turtle genome longevity genes,yes
825,turtles take many years reach breeding age,yes
826,Immature sea turtles cared adults,yes
827,Pleurodira sometimes known sidenecked turtles reference way withdraw heads shells,yes
828,Order Testudines include extant LRB living RRB extinct species earliest known turtles around 215 million years ago,yes
829,Ulysses Grant general American Civil War,Yes
830,Grants fatherinlaw Democrat,Yes
831,Ulysses win Battle Champion Hill,Yes
832,Grants brother law,Fred Dent
833,Grant born,Point Pleasant Ohio
834,Grants political affiliation,Republican
835,Grant say Damn nothing batte,went well
836,Horace Greenley lose presidential elections 1872,Yes
837,Grant think war unjust,thought designed gain land open slavery
838,achieved international fame leading Union general American Civil War,Grant
839,Grant elected president Republican year,1868
840,took hard line reduced violence groups like Ku Klux Klan,Grant
841,vote democrat james buchanan,1856
842,President Lincoln promote major general regular army effective July 4,Grant
843,Grant elected president Republican,yes
844,Pennsylvania,father
845,twosentence description completely caught essence Ulysses Grant,yes
846,Grant favorite brand bourbon whiskey Old Crow,yes
847,smoked sporadically,yes
848,Grant Perkins sell harnesses saddles leather goods purchase hides farmers prosperous Galena area,
849,famous dragon gate entrance district corner Grant Bush Street,yes
850,happened 1865,accepted surrender Robert E Lee
851,happened recent years,reputation president improved
852,Uruguay located northwesten part Africa,
853,Uruguays capital Montevideo,Yes
854,Uruguay cold summers,
855,founded Montevideo,Spanish
856,Uruguays oldest church,San Carlos Maldonado
857,heavily influenced architecture culture Montevideo,European immigrants
858,poor neighborhoods called informally,Cantegriles
859,uruguays landscape mountainous,
860,religion Uruguayans profess,None
861,Uruguay located South America,Yes located southeastern part
862,citizens propose changes Constitution,Yes People allowed challenge laws
863,Uruguay host first ever World Cup,Yes 1930
864,many square kilometres continental land Uruguay,176215 km
865,much population white European descent,88
866,capital Uruguay founded,military stronghold
867,many times Uruguay World Cup,Twice
868,much average income African woman compared European man,African women earns 065 0718 4667 European man earns average
869,Uruguay recognize samesex civil unions,Yes
870,Uruguay border French Guiana,
871,Uruguays warmest month June,
872,citizen use propose changes Constitution,Referendum
873,religions found Uruguay,Roman Catholic Protestant Jewish nonprofessing
874,Uruguay done competitive agriculture,Labeling Natural Ecological
875,names Uruguays political parties,Partido Colorado Partido Blanco
876,Uruguay smallest soverign nation South America,
877,founded Spanish early 18th century military stronghold,Montevideo
878,many possible meanings,
879,india latin america relate,Uruguay exports architectural services India Latin America
880,Uruguay win 1828,independence
881,Uruguay common,
882,climate Uruguay temperate,Yes
883,main sport Uruguay football,Yes
884,Uruguay oldest church San Carlos Maldonado,Yes
885,Uruguay member Cairns Group exporters agricultural products,Yes
886,widely considered secular nation Latin America,Yes
887,second smallest independent country south america larger suriname french overseas department french guiana,Yes
888,constitutional democracy president fulfills roles head state head government,Yes
889,Woodrow Wilson thirtieth President United States,
890,Woodrow Wilson create League Nations,yes
891,US join League Nations,
892,League Nations created,Paris
893,Woodrow Wilson born,December 28 1856
894,President Wilson finished Congressional Government,Grover Cleveland
895,field Woodrow Wilson leave law practice study,history political science
896,caused Wilson ask Congress declare war Central Powers,German began unrestricted submarine warfare
897,damaging moving students colleges,confrontation Andrew Fleming West
898,Wilson member Phi Kappa Psi fraternity,yes
899,Wilson automobile enthusiast,yes
900,Wilsons father slaves,yes
901,Wilson buried,buried Washington National Cathedral
902,Wilson attend law school,Wilson attended law school University Virginia
903,Woodrow Wilson born,Woodrow Wilson born Staunton Virginia
904,Wilson support desegregation,
905,Wilson support committee system,
906,Wilson siblings,yes
907,ScotsIrish Scottish,ancestry
908,defended slavery owned slaves S08_set Sunday school,father
909,Wilson win 1917,Irish Americans
910,Wilson awarded 1919 Nobel Peace Prize,Yes
911,Wilson remarkably effective writer thinker,Yes
912,lived Columbia,Wilson
913,Wilson president American Political Science Association 1910,Yes
914,cast ballot John Palmer presidential candidate National Democratic Party Gold Democrats shortlived party supported gold standard low tariffs limited government,Yes
915,Wilson spend 1914 beginning 1917 trying keep America war Europe,Yes
916,Wilson staunch opponent antisemitism sympathetic plight Jews especially Poland France,Yes
917,happened 1917,raised billions Liberty loans imposed income tax S08_set War Industries Board promoted labor union growth supervised agriculture food production Lever Act took control railroads suppressed antiwar movements
